# be wary of 's etc, must show the  that tokenizer would use
# there are no items in this file, only base



table: ~roles(^actor ^title)
if (! ^pos(NOUN ^title lowercaseexist))
{
	createfact(^title star ^actor)
	if (! ^pos(NOUN ^title lowercaseexist))
	{
		^addproperty(^title NOUN_TITLE)
Ed_Harris The_Abyss
Kimberly_Scott The_Abyss
Ashley_Scott Dark_Angel
Gary_Coleman Diffrent_Strokes
Dixie_Carter Diffrent_Strokes
Flora_Robson Black_Narcissus
Alison_Bartlett_O_Reilly Sesame_Street
Desiree_Casado Sesame_Street
Emilio_Delgado Sesame_Street
Bill_Irwin Sesame_Street
Chris_Knowings Sesame_Street
Loretta_Long Sesame_Street
Sonia_Manzano Sesame_Street
Bob_Mc_Grath Sesame_Street
Alan_Muraoka Sesame_Street
Roscoe_Orman Sesame_Street
Caroll_Spinney Sesame_Street
Pam_Arciero Sesame_Street
Fran_Brill Sesame_Street
Leslie_Carrara_Rudolph Sesame_Street
Kevin_Clash Sesame_Street
Stephanie_D_Abruzzo Sesame_Street
Eric_Jacobson Sesame_Street
Ray_Park X_Men
Robert_Plant The_Song_Remains_The_Same
Timothy_Hutton French_Kiss
BindIIrwin The_Crocodile_Hunter
Alan_Reed The_Flintstones
Gerry_Johnson The_Flintstones
Buddy_Ebsen Breakfast_At_Tiffanys
Bill_Oddie Im_Sorry_Ill_Read_That_Again
Willie_Rushton Im_Sorry_I_Havent_A_Clue
Vivica_A_Fox Independence_Day
Peter_Stormare Armageddon
Scott_Jacoby The_Little_Girl_Who_Lives_Down_The_Lane
Erik_Von_Detten Toy_Story
Rod_Serling The_Twilight_Zone (Twilight_Zone)
Kurt_Russell Vanilla_Sky
Valeria_Golino Leaving_Las_Vegas
Denholm_Elliott Raiders_Of_The_Lost_Ark
John_Travolta Pulp_Fiction
Karen_Lynn_Gorney Saturday_Night_Fever
Samuel_L_Jackson Coming_To_America
Dean_Stockwell Quantum_Leap
Hugh_Brannum Captain_Kangaroo
Jack_Kelly_Actor Forbidden_Planet
Arnold_Schwarzenegger Total_Recall
Ronny_Cox Total_Recall
Jon_Polito Millers_Crossing
Derek_Benfield Timeslip
Christopher_Walken Sleepy_Hollow
George_Takei Mulan
Anne_Reid Dinnerladies
Butch_Patrick The_Munsters
Jane_Horrocks Absolutely_Fabulous
Paul_Henreid Casablanca
Jake_Gyllenhaal Donnie_Darko
Patrick_Swayze Donnie_Darko
Khigh_Dheigh The_Manchurian_Candidate
James_Spader Wall_Street
Alan_Alda The_West_Wing
